work_cid,target_title,plan_before_title,current_title,final_title,manager_name,status,reason,missing_required_fields,stuffed_fields,get_status,put_status,server_message,server_body
107965,[정산정보없음]_[네이버] 악마가 내 이름을 부르면,[네이버] 악마가 내 이름을 부르면,[네이버] 악마가 내 이름을 부르면,[네이버] 악마가 내 이름을 부르면,김수지(A),put_failed,status=500,"mnplyCd,serlPargCyclCd,ctnsExptQntCd,exptSerlMt,exptSerlTme,genrCd",,,500,"### Error updating database.  Cause: com.mysql.cj.jdbc.exceptions.MysqlDataTruncation: Data truncation: Data too long for column 'AFCH_DATA' at row 1
### The error may exist in URL [jar:nested:/app/kds-ipmgmt-prod.jar/!BOOT-INF/classes/!/mapper/ctnsd/cntschg/IpCtnsChg.xml]
### The error may involve com.kidaristudio.kds.ipmgmt.dao.mapper.cntsd.cntschg.IpCtnsChgMapper.insertDataChghstM-Inline
### The error occurred while setting parameters
### SQL: /*com.kidaristudio.kds.ipmgmt.dao.mapper.cntsd.cn","{""code"": ""ETC_ERROR"", ""message"": ""\n### Error updating database.  Cause: com.mysql.cj.jdbc.exceptions.MysqlDataTruncation: Data truncation: Data too long for column 'AFCH_DATA' at row 1\n### The error may exist in URL [jar:nested:/app/kds-ipmgmt-prod.jar/!BOOT-INF/classes/!/mapper/ctnsd/cntschg/IpCtnsChg.xml]\n### The error may involve com.kidaristudio.kds.ipmgmt.dao.mapper.cntsd.cntschg.IpCtnsChgMapper.insertDataChghstM-Inline\n### The error occurred while setting parameters\n### SQL: /*com.kidaristudio.kds.ipmgmt.dao.mapper.cntsd.cntschg.IpCtnsChgMapper.insertDataChghstM*/         INSERT INTO IP_DATA_CHGHST_M         (CHANGE_TABLE_NM_CD,         CHANGE_TABLE_ID,         CHG_CTRTC_ID,         CHANGE_TABLE_COLUMN_CD,         BFCH_DATA,         AFCH_DATA,         DEL_YN,         CHGER_ID,  "
110970,[정산정보없음]_[카카오창작지원금] 사자님은 비정규직!,[카카오창작지원금] 사자님은 비정규직!,[카카오창작지원금] 사자님은 비정규직!,[정산정보없음]_[카카오창작지원금] 사자님은 비정규직!,김수지(A),updated,verified_after_reload,"mnplyCd,serlPargCyclCd,ctnsExptQntCd,exptSerlMt,exptSerlTme",,,,,
116488,[정산정보없음]_후회물 남주를 잘못 훈육해버렸다 (연재),후회물 남주를 잘못 훈육해버렸다 (연재),후회물 남주를 잘못 훈육해버렸다 (연재),후회물 남주를 잘못 훈육해버렸다 (연재),김수지(A),put_failed,status=500,"mnplyCd,serlPargCyclCd,ctnsExptQntCd,exptSerlMt,exptSerlTme,genrCd",,,500,"### Error updating database.  Cause: com.mysql.cj.jdbc.exceptions.MysqlDataTruncation: Data truncation: Data too long for column 'AFCH_DATA' at row 1
### The error may exist in URL [jar:nested:/app/kds-ipmgmt-prod.jar/!BOOT-INF/classes/!/mapper/ctnsd/cntschg/IpCtnsChg.xml]
### The error may involve com.kidaristudio.kds.ipmgmt.dao.mapper.cntsd.cntschg.IpCtnsChgMapper.insertDataChghstM-Inline
### The error occurred while setting parameters
### SQL: /*com.kidaristudio.kds.ipmgmt.dao.mapper.cntsd.cn","{""code"": ""ETC_ERROR"", ""message"": ""\n### Error updating database.  Cause: com.mysql.cj.jdbc.exceptions.MysqlDataTruncation: Data truncation: Data too long for column 'AFCH_DATA' at row 1\n### The error may exist in URL [jar:nested:/app/kds-ipmgmt-prod.jar/!BOOT-INF/classes/!/mapper/ctnsd/cntschg/IpCtnsChg.xml]\n### The error may involve com.kidaristudio.kds.ipmgmt.dao.mapper.cntsd.cntschg.IpCtnsChgMapper.insertDataChghstM-Inline\n### The error occurred while setting parameters\n### SQL: /*com.kidaristudio.kds.ipmgmt.dao.mapper.cntsd.cntschg.IpCtnsChgMapper.insertDataChghstM*/         INSERT INTO IP_DATA_CHGHST_M         (CHANGE_TABLE_NM_CD,         CHANGE_TABLE_ID,         CHG_CTRTC_ID,         CHANGE_TABLE_COLUMN_CD,         BFCH_DATA,         AFCH_DATA,         DEL_YN,         CHGER_ID,  "
112400,[정산정보없음]_달콤한 최면 세트,달콤한 최면 세트,달콤한 최면 세트,달콤한 최면 세트,배지은,put_failed,status=500,"mnplyCd,serlPargCyclCd,ctnsExptQntCd,exptSerlMt,exptSerlTme",,,500,"### Error updating database.  Cause: com.mysql.cj.jdbc.exceptions.MysqlDataTruncation: Data truncation: Data too long for column 'AFCH_DATA' at row 1
### The error may exist in URL [jar:nested:/app/kds-ipmgmt-prod.jar/!BOOT-INF/classes/!/mapper/ctnsd/cntschg/IpCtnsChg.xml]
### The error may involve com.kidaristudio.kds.ipmgmt.dao.mapper.cntsd.cntschg.IpCtnsChgMapper.insertDataChghstM-Inline
### The error occurred while setting parameters
### SQL: /*com.kidaristudio.kds.ipmgmt.dao.mapper.cntsd.cn","{""code"": ""ETC_ERROR"", ""message"": ""\n### Error updating database.  Cause: com.mysql.cj.jdbc.exceptions.MysqlDataTruncation: Data truncation: Data too long for column 'AFCH_DATA' at row 1\n### The error may exist in URL [jar:nested:/app/kds-ipmgmt-prod.jar/!BOOT-INF/classes/!/mapper/ctnsd/cntschg/IpCtnsChg.xml]\n### The error may involve com.kidaristudio.kds.ipmgmt.dao.mapper.cntsd.cntschg.IpCtnsChgMapper.insertDataChghstM-Inline\n### The error occurred while setting parameters\n### SQL: /*com.kidaristudio.kds.ipmgmt.dao.mapper.cntsd.cntschg.IpCtnsChgMapper.insertDataChghstM*/         INSERT INTO IP_DATA_CHGHST_M         (CHANGE_TABLE_NM_CD,         CHANGE_TABLE_ID,         CHG_CTRTC_ID,         CHANGE_TABLE_COLUMN_CD,         BFCH_DATA,         AFCH_DATA,         DEL_YN,         CHGER_ID,  "
113455,[정산정보없음]_불량 연애 세트,불량 연애 세트,불량 연애 세트,불량 연애 세트,배지은,put_failed,status=500,"mnplyCd,serlPargCyclCd,ctnsExptQntCd,exptSerlMt,exptSerlTme",,,500,"### Error updating database.  Cause: com.mysql.cj.jdbc.exceptions.MysqlDataTruncation: Data truncation: Data too long for column 'AFCH_DATA' at row 1
### The error may exist in URL [jar:nested:/app/kds-ipmgmt-prod.jar/!BOOT-INF/classes/!/mapper/ctnsd/cntschg/IpCtnsChg.xml]
### The error may involve com.kidaristudio.kds.ipmgmt.dao.mapper.cntsd.cntschg.IpCtnsChgMapper.insertDataChghstM-Inline
### The error occurred while setting parameters
### SQL: /*com.kidaristudio.kds.ipmgmt.dao.mapper.cntsd.cn","{""code"": ""ETC_ERROR"", ""message"": ""\n### Error updating database.  Cause: com.mysql.cj.jdbc.exceptions.MysqlDataTruncation: Data truncation: Data too long for column 'AFCH_DATA' at row 1\n### The error may exist in URL [jar:nested:/app/kds-ipmgmt-prod.jar/!BOOT-INF/classes/!/mapper/ctnsd/cntschg/IpCtnsChg.xml]\n### The error may involve com.kidaristudio.kds.ipmgmt.dao.mapper.cntsd.cntschg.IpCtnsChgMapper.insertDataChghstM-Inline\n### The error occurred while setting parameters\n### SQL: /*com.kidaristudio.kds.ipmgmt.dao.mapper.cntsd.cntschg.IpCtnsChgMapper.insertDataChghstM*/         INSERT INTO IP_DATA_CHGHST_M         (CHANGE_TABLE_NM_CD,         CHANGE_TABLE_ID,         CHG_CTRTC_ID,         CHANGE_TABLE_COLUMN_CD,         BFCH_DATA,         AFCH_DATA,         DEL_YN,         CHGER_ID,  "
147312,[정산정보없음]_히트 가이딩,히트 가이딩,히트 가이딩,[정산정보없음]_히트 가이딩,배지은,updated,verified_after_reload,"mnplyCd,serlPargCyclCd,ctnsExptQntCd,exptSerlMt",,,,,
324238,[정산정보없음]_유리알 유희(봄툰),유리알 유희(봄툰),유리알 유희(봄툰),[정산정보없음]_유리알 유희(봄툰),윤민희,updated,verified_after_reload,"mnplyCd,serlPargCyclCd,ctnsExptQntCd,exptSerlMt,exptSerlTme",,,,,
109435,[정산정보없음]_[연재] 논 마라나타(non marana tha),[연재] 논 마라나타(non marana tha),[연재] 논 마라나타(non marana tha),[정산정보없음]_[연재] 논 마라나타(non marana tha),허은지,updated,verified_after_reload,"mnplyCd,serlPargCyclCd,ctnsExptQntCd,exptSerlMt,exptSerlTme",,,,,
112812,[정산정보없음]_리스트 컷 세트,리스트 컷 세트,리스트 컷 세트,리스트 컷 세트,허은지,put_failed,status=500,"mnplyCd,serlPargCyclCd,ctnsExptQntCd,exptSerlMt,exptSerlTme",,,500,"### Error updating database.  Cause: com.mysql.cj.jdbc.exceptions.MysqlDataTruncation: Data truncation: Data too long for column 'AFCH_DATA' at row 1
### The error may exist in URL [jar:nested:/app/kds-ipmgmt-prod.jar/!BOOT-INF/classes/!/mapper/ctnsd/cntschg/IpCtnsChg.xml]
### The error may involve com.kidaristudio.kds.ipmgmt.dao.mapper.cntsd.cntschg.IpCtnsChgMapper.insertDataChghstM-Inline
### The error occurred while setting parameters
### SQL: /*com.kidaristudio.kds.ipmgmt.dao.mapper.cntsd.cn","{""code"": ""ETC_ERROR"", ""message"": ""\n### Error updating database.  Cause: com.mysql.cj.jdbc.exceptions.MysqlDataTruncation: Data truncation: Data too long for column 'AFCH_DATA' at row 1\n### The error may exist in URL [jar:nested:/app/kds-ipmgmt-prod.jar/!BOOT-INF/classes/!/mapper/ctnsd/cntschg/IpCtnsChg.xml]\n### The error may involve com.kidaristudio.kds.ipmgmt.dao.mapper.cntsd.cntschg.IpCtnsChgMapper.insertDataChghstM-Inline\n### The error occurred while setting parameters\n### SQL: /*com.kidaristudio.kds.ipmgmt.dao.mapper.cntsd.cntschg.IpCtnsChgMapper.insertDataChghstM*/         INSERT INTO IP_DATA_CHGHST_M         (CHANGE_TABLE_NM_CD,         CHANGE_TABLE_ID,         CHG_CTRTC_ID,         CHANGE_TABLE_COLUMN_CD,         BFCH_DATA,         AFCH_DATA,         DEL_YN,         CHGER_ID,  "
114987,[정산정보없음]_이름을 세 번 부를 때까지,이름을 세 번 부를 때까지,이름을 세 번 부를 때까지,[정산정보없음]_이름을 세 번 부를 때까지,허은지,updated,verified_after_reload,mnplyCd,,,,,
323032,[정산정보없음]_러브 바이트[봄툰KR],러브 바이트[봄툰KR],러브 바이트[봄툰KR],[정산정보없음]_러브 바이트[봄툰KR],허은지,updated,verified_after_reload,"mnplyCd,serlPargCyclCd,ctnsExptQntCd,exptSerlMt,exptSerlTme",,,,,
110951,[정산정보없음]_[카카오창작지원금] 가짜 후궁,[카카오창작지원금] 가짜 후궁,[카카오창작지원금] 가짜 후궁,[정산정보없음]_[카카오창작지원금] 가짜 후궁,김인희,updated,verified_after_reload,"mnplyCd,serlPargCyclCd,ctnsExptQntCd,exptSerlMt,exptSerlTme",,,,,
110957,[정산정보없음]_[카카오창작지원금] 그녀를 탐하다,[카카오창작지원금] 그녀를 탐하다,[카카오창작지원금] 그녀를 탐하다,[정산정보없음]_[카카오창작지원금] 그녀를 탐하다,김인희,updated,verified_after_reload,"mnplyCd,serlPargCyclCd,ctnsExptQntCd,exptSerlMt,exptSerlTme",,,,,
